book,author,started
1984 (Graphic Novel), George Orwell, False
Berserk Vol. 1,Kentaro Miura, True
Berserk Vol. 2,Kentaro Miura
Berserk Vol. 3,Kentaro Miura
Berserk Vol. 4,Kentaro Miura
Berserk Vol. 5,Kentaro Miura
Berserk Vol. 7,Kentaro Miura
Berserk Vol. 8,Kentaro Miura
Berserk Vol. 9,Kentaro Miura
Berserk Vol. 10,Kentaro Miura
Berserk Vol. 11,Kentaro Miura
Berserk Vol. 12,Kentaro Miura
Berserk Vol. 13,Kentaro Miura
Berserk Vol. 14,Kentaro Miura
The Umbrella Academy Vol. 1: Apocalypse Suite,Gerard Way
The Umbrella Academy Vol. 2: Dallas,Gerard Way
The Umbrella Academy Vol. 3: Hotel Oblivion,Gerard Way
Avengers: The Ultimates, Mark Millar
Little Bird: The Fight for Elder's Hope, Darcy Van Poelgeest
Antifragile, Nassim Nicholas Taleb
Sabrina, Nick Drnaso
Granta (Issue), Granta
Abstract Expressionism, Albert Irvin
The Five Dysfunctions of a Team, Patrick Lencioni
EX.Mag #01, EX.Mag
EX.Mag #02, EX.Mag
Thinking, Fast and Slow, Daniel Kahneman
The Black Lily, Bella Habib
In Praise of Shadows, Jun'ichirō Tanizaki
Nudge, Richard H. Thaler and Cass R. Sunstein
Nineteen Eighty-Four, George Orwell
How to Make a Zombie, Frank Swain
The Body Keeps the Score, Bessel van der Kolk
Don Quixote, Miguel de Cervantes
The Subtle Art of Not Giving a F*ck, Mark Manson
15 Minute Arabic, DK
The Memory Book, Tony Buzan
Little Mogadishu, Nel Cargill
Strange Pictures, Uketsu
Murdle, G. T. Karber
Atomic Habits, James Clear
Shaq Uncut, Shaquille O'Neal and Jackie MacMullan
Invisible Child, Andrea Elliott
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum
Prisoners of Geography, Tim Marshall
Noise, Daniel Kahneman and Cass R. Sunstein
The Sleeping Beauties, Suzanne O'Sullivan
Long Walk to Freedom, Nelson Mandela
Every Family Has a Story, Julia Samuel
Goodnight Punpun Vol. 1, Inio Asano
Goodnight Punpun Vol. 2, Inio Asano
Goodnight Punpun Vol. 3, Inio Asano
Goodnight Punpun Vol. 4, Inio Asano
Goodnight Punpun Vol. 6, Inio Asano
Goodnight Punpun Vol. 7, Inio Asano
Solanin, Inio Asano
Strange Houses, Uketsu
Dead-End Memories, Banana Yoshimoto
Explaining Auhd, Dr Khurram Sadiq
The Etymologicon, Mark Forsyth
Kafka on the Shore, Haruki Murakami
Rich Dad Poor Dad, Robert T. Kiyosaki
The New Me, Halle Butler
Rental Person Who Does Nothing, Shoji Morimoto
The Rearranged Life of Oona Lockhart, Margarita Montimore
Theories of Everything, Frank Close
The Daily Stoic, Ryan Holiday; Stephen Hanselman
Before the Coffee Gets Cold, Toshikazu Kawaguchi
Natives, Akala
Kitchen, Banana Yoshimoto
The Myth of Normal, Gabor Maté
The Diary of a CEO, Steven Bartlett
Think Like an Engineer, Guru Madhavan
Tyson: The Unauthorized Biography, Kit Tyson
Never Too Small: Reimagining Small Space Living, Joel Beath; Elizabeth Price
Persiana: Recipes from the Middle East & Beyond, Sabrina Ghayour
Klara and the Sun, Kazuo Ishiguro
My Syrian Kitchen, Imad Alarnab
Travelling While Black, Nanjala Nyabola
The Tatami Galaxy, Tomihiko Morimi
Convenience Store Woman, Sayaka Murata
Asleep, Banana Yoshimoto
My Year of Rest and Relaxation, Ottessa Moshfegh
A Therapeutic Journey, Alain de Botton
A Sunny Place for Shady People, Mariana Enriquez
Bell Hooks: All About Love, bell hooks
The Convenience Store by the Sea, Sonoko Machida
A Little History of the World, E.H. Gombrich
On the Pleasure of Hating, William Hazlitt
Everything I Know About Love, Dolly Alderton
Picnic in the Storm, Yukiko Motoya
The Flatshare, Beth O'Leary
Goodbye, Eri, Tatsuki Fujimoto
Representations, Edward W. Said
The Beauty of Everyday Things, Soetsu Yanagi
How to Think More Effectively, The School of Life
Can We Be Happier?, Richard Layard
The Art of Statistics, David Spiegelhalter
An Opinionated Guide to Independent London, Ed Cumming
The Colour of Madness, Dr Samara Linton and Dr Rianna Walcott
The Honjin Murders, seshi Yokomizo
